2494-SOFTSIZE DESENVOLVIMENTO E CONSULTORIA S/S LTDA - ME
Concluido	PRIMEIRA		Comercial	Balanço e DRE	Cliente
Concluido	SEGUNDA		Comercial	Balanço e DRE	Receber
Concluido	TERCEIRA		Contabilidade	Balanço e DRE	Validar
Concluido	PRIMEIRA		Comercial	CNPJ E QSA	Cliente
Concluido	SEGUNDA		Comercial	CNPJ E QSA	Receber
Concluido	TERCEIRA		Contratos	CNPJ E QSA	Validar
Concluido	PRIMEIRA		Comercial	Composição das contas patrimoniais (a receber, a recuperar/compensar e a pagar)	Cliente
Concluido	SEGUNDA		Comercial	Composição das contas patrimoniais (a receber, a recuperar/compensar e a pagar)	Receber
Concluido	TERCEIRA		Contabilidade	Composição das contas patrimoniais (a receber, a recuperar/compensar e a pagar)	Validar
Concluido	PRIMEIRA		Comercial	Contrato de constituição e alterações (se houver)	Cliente
Concluido	SEGUNDA		Comercial	Contrato de constituição e alterações (se houver)	Receber
Pendente	TERCEIRA		Contratos	Contrato de constituição e alterações (se houver)	Validar
Concluido	PRIMEIRA		Comercial	Contrato de prestação de serviços	Cliente
Concluido	SEGUNDA		Comercial	Contrato de prestação de serviços	Receber
Pendente	TERCEIRA		Contratos	Contrato de prestação de serviços	Validar
Concluido	PRIMEIRA		Comercial	Controle dos Bens do Ativo Imobilizado e cálculo da depreciação item a item	Cliente
Concluido	SEGUNDA		Comercial	Controle dos Bens do Ativo Imobilizado e cálculo da depreciação item a item	Receber
Concluido	TERCEIRA		Contabilidade	Controle dos Bens do Ativo Imobilizado e cálculo da depreciação item a item	Validar
Concluido	PRIMEIRA		Comercial	Documentos dos Socios	Cliente
Concluido	SEGUNDA		Comercial	Documentos dos Socios	Receber
Concluido	TERCEIRA		Contratos	Documentos dos Socios	Validar
Concluido	PRIMEIRA		Comercial	Inscrição Municipal (CCM)	Cliente
Concluido	SEGUNDA		Comercial	Inscrição Municipal (CCM)	Receber
Pendente	TERCEIRA		Contratos	Inscrição Municipal (CCM)	Validar
Concluido	PRIMEIRA		Comercial	Livros de Entradas, Saídas, Apuração de ICMS e Modelo 6 (se for o caso)	Cliente
Concluido	SEGUNDA		Comercial	Livros de Entradas, Saídas, Apuração de ICMS e Modelo 6 (se for o caso)	Receber
Concluido	TERCEIRA		Fiscal	Livros de Entradas, Saídas, Apuração de ICMS e Modelo 6 (se for o caso)	Validar
Concluido	PRIMEIRA		Comercial	Memória de cálculo dos saldos de retenções na fonte de CSRF (prestados e tomados)	Cliente
Concluido	SEGUNDA		Comercial	Memória de cálculo dos saldos de retenções na fonte de CSRF (prestados e tomados)	Receber
Concluido	TERCEIRA		Fiscal	Memória de cálculo dos saldos de retenções na fonte de CSRF (prestados e tomados)	Validar
Pendente	PRIMEIRA		Comercial	Pesquisa de débitos (todos os órgãos)	Liberar todos os acessos
Aguardando Liberação	SEGUNDA		Regularização	Pesquisa de débitos (todos os órgãos)	Validar
Concluido	PRIMEIRA		Comercial	Pis Socio e/ou Administrativo	Cliente
Concluido	SEGUNDA		Comercial	Pis Socio e/ou Administrativo	Receber
Concluido	TERCEIRA		Contratos	Pis Socio e/ou Administrativo	Validar
Concluido	PRIMEIRA		Comercial	Procuração Eletronica (E-CAC)	Cliente
Pendente	SEGUNDA		Comercial	Procuração Eletronica (E-CAC)	Receber
Aguardando Liberação	TERCEIRA		Fiscal	Procuração Eletronica (E-CAC)	Validar
Concluido	PRIMEIRA		Comercial	Senha do INSS	Cliente
Concluido	SEGUNDA		Comercial	Senha do INSS	Receber
